#Saved city (my attempt at making the dubai metro)

25 #nb housing
	1022 -570 -73.3333 1000
	1023 -660 -30 1000
	1024 -770 -46.6667 1000
	1025 -636.667 76.6667 1000
	1027 390 106.667 1000
	1028 530 73.3333 1000
	1029 663.333 153.333 1000
	1030 -170 33.3333 1000
	1031 -230 -33.3333 1000
	1032 -296.667 46.6667 1000
	1033 110 -123.333 1000
	1034 43.3333 -190 1000
	1035 -20 -263.333 1000
	1036 -76.6667 100 1000
	1037 -316.667 -136.667 1000
	1038 -763.333 -323.333 1000
	1039 226.667 530 1000
	1040 343.333 253.333 1000
	1041 276.667 163.333 1000
	1042 40 316.667 1000
	1043 13.3333 236.667 1000
	1044 413.333 710 1000
	1048 393.333 810 1000
	1049 270 823.333 1000
	1050 470 856.667 1000


20 #nb transport
	1000 -563.333 -586.667 1000
	1001 -476.667 -506.667 1000
	1002 -376.667 -400 1000
	1003 -280 -300 1000
	1004 -166.667 -170 1000
	1005 -73.3333 -70 1000
	1006 20 26.6667 1000
	1007 106.667 126.667 1000
	1008 186.667 226.667 1000
	1009 286.667 356.667 1000
	1010 420 540 1000
	1011 53.3333 463.333 1000
	1012 203.333 666.667 1000
	1013 103.333 573.333 1000
	1014 533.333 683.333 1000
	1015 696.667 633.333 1000
	1016 813.333 580 1000
	1017 590 440 1000
	1018 780 376.667 1000
	1026 513.333 216.667 1000


3 #nb production
	1019 -443.333 -800 1000
	1020 -836.667 -813.333 1000
	1021 -850 -533.333 1000


49 #nb links
	1017 1010
	1017 1018
	1017 1009
	1009 1010
	1009 1008
	1009 1011
	1013 1012
	1013 1011
	1012 1010
	1010 1014
	1015 1014
	1015 1016
	1007 1008
	1007 1006
	1005 1006
	1005 1004
	1003 1002
	1003 1004
	1001 1002
	1001 1000
	1000 1019
	1020 1019
	1020 1021
	1023 1024
	1023 1025
	1023 1022
	1026 1010
	1026 1027
	1026 1028
	1026 1029
	1022 1002
	1013 1039
	1005 1031
	1031 1032
	1031 1037
	1036 1005
	1036 1030
	1005 1034
	1034 1035
	1034 1033
	1001 1038
	1008 1042
	1008 1041
	1041 1040
	1042 1043
	1048 1049
	1048 1044
	1048 1050
	1044 1010
