# file generated by the official demo


# nb housing
10
# housing:
	14 0.000000 0.000000 1000
	2 -141.984253 -150.573120 1000
	3 153.015137 -158.048859 1000
	10 -361.927185 24.418640 1000
	11 -509.434738 -148.081207 1000
	12 287.998505 -345.574646 1000
	13 310.556793 -63.058624 1076
	17 203.054352 196.918564 1000
	18 -89.485931 259.439545 1000
	1 -164.484863 31.931610 1000

# nb transport
4
# transport:
	15 0.000000 100.000000 1000
	4 -9.491119 -148.081207 1000
	5 -289.418564 -83.068390 1000
	6 -199.478455 -310.576324 1000

# nb production
4
# production:
	16 100.000000 0.000000 1000
	7 70.561371 -325.564880 1000
	8 -261.953125 151.915359 1000
	9 -399.426651 -235.558472 1000

# nb link
18
	14 15
	14 16
	4 14
	13 16
	2 5
	2 6
	2 9
	3 4
	3 7
	3 12
	5 10
	8 10
	1 10
	1 11
	13 17
	13 18
	17 18
	1 18

