# hex grid


# nb housing
14
# housing:
	15 -100.000000 0.000000 1000
	16 100.000000 0.000000 1000
	
	24 -190.000000 173.200000 1000
	25 -100.000000 173.200000 1000
	26 100.000000 173.200000 1000
	27 190.000000 173.200000 1000
	
	
	45 -50.000000 -86.6000000 1000
	46 50.000000 -86.600000 1000

	54 -250.000000 86.6000000 1000
	55 -50.000000 86.6000000 1000
	56 50.000000 86.600000 1000
	57 250.000000 86.600000 1000

	64 -50.000000 259.800000 1000
	66 50.000000 259.80000 1000

# nb transport
8
# transport:
	14 -200.000000 0.000000 1000
	17 200.000000 0.000000 1000
	34 -200.000000 -173.200000 1000
	35 -100.000000 -173.200000 1000
	36 100.000000 -173.200000 1000
	37 200.000000 -173.200000 1000
	44 -250.000000 -86.6000000 1000
	47 250.000000 -86.600000 1000

# nb production
2
# production:
	67 50.000000 -259.80000 1000
	65 -50.000000 -259.800000 1000

# nb link
30
	14 15
	14 54
	14 44
	15 55
	15 45
	16 17
	16 56
	16 46
	17 57
	17 47
	34 44
	34 35
	35 45
	35 65
	45 46
	36 37
	36 46
	36 67
	37 47
	65 67
	54 24
	55 25
	55 56 
	56 26
	57 27
	24 25
	26 27
	25 64
	66 26
	64 66
	
