# big city


# nb housing
140
# housing:
	2 -9.522705 289.436340 1000
	3 -149.486389 271.927109 1000
	4 -221.994934 216.920013 1000
	5 -264.474792 134.447479 1000
	6 -301.974182 34.427643 1000
	7 -284.469604 -53.041992 1000
	8 -237.009583 -140.549774 1000
	9 -197.019958 -210.548401 1000
	10 -84.521484 -240.569611 1000
	11 27.976685 -253.043518 1000
	12 110.519409 -220.542755 1000
	13 185.518188 -165.573883 1000
	14 227.998047 -73.068848 1000
	15 252.973328 11.921387 1000
	16 235.468750 116.938324 1000
	17 192.988892 199.449005 1000
	18 105.465698 264.450455 1000
	20 -241.989746 314.422226 1000
	22 -344.527283 96.949615 1000
	23 -367.012329 -35.570984 1000
	24 -327.022705 -135.552673 1000
	25 -281.979370 -220.542755 1000
	26 -151.976624 -290.541382 1000
	27 -246.970215 -300.535736 1000
	28 -39.478455 -308.050537 1000
	29 -114.477234 -370.534363 1000
	30 -206.980591 -378.049164 1000
	31 -29.517517 -383.046417 1000
	32 53.025208 -348.066101 1000
	33 142.965088 -315.565491 1000
	34 203.022766 -265.555573 1000
	35 275.458374 -198.036346 1000
	36 298.016663 -100.572357 1000
	37 327.972107 -0.552521 1000
	38 320.501404 101.946869 1000
	39 290.472717 221.917191 1000
	40 215.473938 309.425049 1000
	41 120.480042 359.434967 1000
	42 38.010864 386.938477 1000
	19 -69.507141 379.423676 1000
	43 -169.481201 356.917267 1000
	21 -314.498596 259.415131 1000
	44 -359.468689 181.939850 1000
	45 -426.996765 54.454498 1000
	46 -459.515839 154.436188 1000
	49 -259.494629 389.418030 1000
	50 -179.515381 446.942749 1000
	51 -76.977844 471.928635 1000
	52 22.996216 471.928635 1000
	53 115.499878 446.942749 1000
	54 205.513000 401.930008 1000
	55 298.016663 326.934204 1000
	56 360.491028 254.417953 1000
	57 377.995911 156.915741 1000
	58 397.990723 66.928406 1000
	59 400.480652 -15.544128 1000
	60 397.990723 -90.539856 1000
	61 358.001099 -165.573883 1000
	62 -314.498596 -363.057709 1000
	63 -364.522095 -288.061829 1000
	64 -387.007141 -190.559692 1000
	65 -419.452972 -105.569611 1000
	66 -456.952362 -25.576630 1000
	67 -519.500275 79.440460 1000
	68 -539.495087 -8.067322 1000
	69 -526.970825 -88.060303 1000
	70 -497.015228 -170.570984 1000
	71 -456.952362 -268.034973 1000
	72 -404.511719 -365.537262 1000
	73 -497.015228 -338.033600 1000
	74 -552.019348 -255.561218 1000
	75 -576.994476 -163.056183 1000
	76 -609.513550 -40.568085 1000
	77 -601.969757 36.945343 1000
	78 -584.465179 129.450378 1000
	79 -537.004852 189.416504 1000
	47 -426.996765 226.914368 1000
